user_id,posted,item_id,playtime_forever,genres
76561197970982479,2011,1250,10006.0,['Action']
76561197970982479,2011,22200,271.0,"['Action', 'Indie']"
js41637,2013,227300,551.0,"['Indie', 'Simulation']"
js41637,2013,239030,194.0,"['Adventure', 'Indie']"
evcentric,2015,370360,403.0,"['Indie', 'Simulation']"
evcentric,2014,237930,154.0,"['Action', 'Indie', 'RPG']"
evcentric,2014,263360,74.0,"['Action', 'Indie', 'RPG']"
evcentric,2014,107200,86.0,"['Action', 'Indie', 'RPG', 'Strategy']"
evcentric,2014,224500,13618.0,"['Indie', 'Simulation', 'Strategy']"
doctr,2013,250320,500.0,['Adventure']
doctr,2012,20920,1343.0,['RPG']
doctr,2012,204100,140.0,['Action']
doctr,2014,224600,526.0,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']"
doctr,2012,207610,798.0,['Adventure']
doctr,2012,108710,138.0,"['Action', 'Adventure']"
maplemage,2014,211420,15.0,"['Action', 'RPG']"
maplemage,2013,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
maplemage,2014,730,23532.0,['Action']
maplemage,2013,204300,499.0,"['Action', 'Free to Play', 'Indie', 'Strategy']"
Wackky,2014,249130,243.0,"['Action', 'Adventure']"
Wackky,2012,207610,798.0,['Adventure']
Wackky,2012,550,1474.0,['Action']
Wackky,2012,65800,130.0,"['Action', 'Indie', 'RPG', 'Strategy']"
Wackky,2012,220,696.0,['Action']
76561198077246154,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
WeiEDKrSat,2013,4000,412.0,"['Indie', 'Simulation']"
thequeenpanda,2012,42910,588.0,"['Action', 'RPG']"
death-hunter,2015,232090,6494.0,['Action']
death-hunter,2015,1250,10006.0,['Action']
death-hunter,2014,4000,412.0,"['Indie', 'Simulation']"
DJKamBer,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
DJKamBer,2013,224260,327.0,"['Action', 'Free to Play', 'Indie']"
DJKamBer,2013,1250,10006.0,['Action']
Rainbow-Dashie,2015,730,23532.0,['Action']
Rainbow-Dashie,2014,49520,1303.0,"['Action', 'RPG']"
MarbleShrine,2015,220200,120.0,"['Indie', 'Simulation']"
PPanther,2014,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
devvonst,2014,218740,29.0,"['Adventure', 'Indie']"
devvonst,2015,550,1474.0,['Action']
starkillershadow553,2015,238090,2006.0,"['Action', 'Adventure']"
starkillershadow553,2014,277430,72.0,['Action']
76561198058373434,2015,8870,2084.0,['Action']
76561198048353577,2015,368230,83.0,"['Indie', 'Simulation', 'Strategy']"
76561198048353577,2013,33930,3.0,"['Action', 'Simulation', 'Strategy']"
76561198066046412,2015,219640,339.0,"['Action', 'Indie']"
tru_mu_,2015,287980,584.0,"['Indie', 'Simulation', 'Strategy']"
76561198070565427,2015,208090,191.0,"['Action', 'Free to Play', 'Indie']"
76561198070565427,2014,242700,796.0,['Action']
76561198070565427,2014,224260,327.0,"['Action', 'Free to Play', 'Indie']"
SavageEeEe,2015,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
KanadeTheNeko,2014,331470,45.0,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
KanadeTheNeko,2014,4000,412.0,"['Indie', 'Simulation']"
GoAwayZach,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
76561198054540475,2014,48700,1024.0,"['Action', 'RPG']"
76561198061252210,2015,730,23532.0,['Action']
OfficialShroomsy,2013,113200,1494.0,"['Action', 'Adventure', 'Indie', 'RPG']"
VVillis,2015,213670,121.0,"['Action', 'Adventure', 'RPG']"
76561198083226897,2015,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
76561198075277292,2015,730,23532.0,['Action']
76561198028895010,2012,620,887.0,"['Action', 'Adventure']"
diego9031,2015,223710,997.0,"['Action', 'Adventure', 'Indie']"
diego9031,2015,299360,10.0,"['Action', 'Free to Play', 'Massively Multiplayer', 'Strategy']"
diego9031,2015,322330,420.0,"['Adventure', 'Indie', 'Simulation']"
diego9031,2015,1250,10006.0,['Action']
diego9031,2015,12100,12.0,['Action']
diego9031,2015,204360,114.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
diego9031,2013,224260,327.0,"['Action', 'Free to Play', 'Indie']"
76561198070194565,2015,248570,54.0,"['Action', 'Free to Play', 'Indie', 'Strategy']"
Rivtex,2015,298630,27.0,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']"
UTNerd24,2015,376920,20.0,"['Action', 'Casual', 'Indie']"
UTNerd24,2015,257750,10.0,"['Action', 'Adventure', 'Casual', 'Indie']"
UTNerd24,2014,221910,157.0,"['Adventure', 'Indie']"
UTNerd24,2013,2280,87.0,['Action']
sandwiches1,2015,417860,15.0,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']"
lucaswerg,2014,222880,3031.0,"['Action', 'Indie', 'Strategy']"
Life-Of-Blu,2015,377160,2001.0,['RPG']
Life-Of-Blu,2013,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
CaptianAutismo,2015,252490,219.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
kube134,2014,251990,135.0,"['Indie', 'RPG', 'Simulation', 'Strategy']"
iamthekingofbrowntown,2015,344760,580.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
iamthekingofbrowntown,2015,252950,969.0,"['Action', 'Indie', 'Racing', 'Sports']"
yookobz,2015,377160,2001.0,['RPG']
yookobz,2013,219150,218.0,"['Action', 'Indie']"
Posiblydead,2014,277430,72.0,['Action']
Posiblydead,2014,239820,117.0,"['Casual', 'Indie', 'Simulation', 'Strategy']"
Posiblydead,2012,17410,356.0,"['Action', 'Adventure']"
76561198102421718,2015,270550,219.0,"['Action', 'Casual', 'Indie', 'Strategy']"
76561198102421718,2015,274940,1584.0,"['Action', 'Indie']"
76561198056741844,2014,730,23532.0,['Action']
sad-commie,2014,212070,1635.0,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']"
sad-commie,2014,264140,277.0,"['Adventure', 'Indie', 'RPG', 'Simulation']"
76561198030567998,2014,332800,88.0,['Indie']
76561198030567998,2015,319630,37.0,"['Action', 'Adventure']"
76561198030567998,2015,6020,77.0,['Action']
76561198030567998,2015,55230,4326.0,['Action']
76561198030567998,2014,32430,112.0,['Action']
Coldaniel,2015,35450,14194.0,"['Action', 'Massively Multiplayer', 'Simulation']"
therealmorty,2015,212680,500.0,"['Indie', 'Simulation', 'Strategy']"
Berserklejerker,2015,391540,395.0,"['Indie', 'RPG']"
76561198061730629,2014,550,1474.0,['Action']
possessioniskey,2014,113400,267.0,"['Action', 'Free to Play', 'Massively Multiplayer']"
76561198060447950,2015,200510,3478.0,['Strategy']
whiteofwolfing,2015,730,23532.0,['Action']
76561198081962345,2014,1250,10006.0,['Action']
Nozomikat,2015,265610,966.0,"['Adventure', 'RPG']"
Nozomikat,2014,264200,119.0,"['Action', 'Casual', 'Indie']"
Nozomikat,2015,417860,15.0,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']"
Nozomikat,2014,213670,121.0,"['Action', 'Adventure', 'RPG']"
Nozomikat,2013,210770,121.0,"['Action', 'Indie', 'Strategy']"
xfluttersx,2015,351640,114.0,"['Action', 'Free to Play', 'Indie', 'RPG']"
xfluttersx,2012,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
xfluttersx,2013,47870,719.0,['Racing']
76561198056290589,2014,730,23532.0,['Action']
ii_voltage_ii,2014,253710,198.0,"['Action', 'Adventure', 'Free to Play', 'Simulation', 'Sports']"
ii_voltage_ii,2015,339280,5.0,"['Action', 'Free to Play', 'RPG', 'Strategy']"
ii_voltage_ii,2013,203290,35.0,"['Action', 'Free to Play']"
76561198097762318,2014,233150,141.0,"['Action', 'Indie', 'Simulation']"
Hirukaz,2013,550,1474.0,['Action']
StelerForYou,2015,730,23532.0,['Action']
StelerForYou,2013,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
Xx-Woods,2015,224260,327.0,"['Action', 'Free to Play', 'Indie']"
Xx-Woods,2014,317360,6.0,"['Action', 'Free to Play', 'Indie']"
Xx-Woods,2014,295550,5.0,"['Free to Play', 'Massively Multiplayer', 'RPG']"
Xx-Woods,2014,250180,93.0,['Action']
Xx-Woods,2014,227940,7.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer']"
Xx-Woods,2014,113420,283.0,"['Free to Play', 'Massively Multiplayer', 'RPG']"
kevinator23,2015,320760,705.0,['Adventure']
